 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
 0, 0, 0,#0,0
F6:91:E3:81:B9:6B -60,FE:2F:13:AA:54:E0 -72,FF:D3:98:1D:EC:EF -49,#0,0
F6:91:E3:81:B9:6B -75,FE:2F:13:AA:54:E0 -54,FF:D3:98:1D:EC:EF -71,#0,0
F6:91:E3:81:B9:6B -61,FE:2F:13:AA:54:E0 -74,FF:D3:98:1D:EC:EF -71,#0,0
F6:91:E3:81:B9:6B -61,FE:2F:13:AA:54:E0 -59,FF:D3:98:1D:EC:EF -65,#0,0
F6:91:E3:81:B9:6B -66,FE:2F:13:AA:54:E0 -73,FF:D3:98:1D:EC:EF -53,#0,0
F6:91:E3:81:B9:6B -53,FE:2F:13:AA:54:E0 -55,FF:D3:98:1D:EC:EF -64,#0,0
F6:91:E3:81:B9:6B -66,FE:2F:13:AA:54:E0 -50,FF:D3:98:1D:EC:EF -55,#0,0
F6:91:E3:81:B9:6B -49,FE:2F:13:AA:54:E0 -50,FF:D3:98:1D:EC:EF -48,#0,0
F6:91:E3:81:B9:6B -70,FE:2F:13:AA:54:E0 -73,FF:D3:98:1D:EC:EF -59,#0,0
F6:91:E3:81:B9:6B -59,FE:2F:13:AA:54:E0 -64,FF:D3:98:1D:EC:EF -47,#0,0
F6:91:E3:81:B9:6B -56,FE:2F:13:AA:54:E0 -52,FF:D3:98:1D:EC:EF -55,#0,0
F6:91:E3:81:B9:6B -56,FE:2F:13:AA:54:E0 -55,FF:D3:98:1D:EC:EF -47,#0,0
F6:91:E3:81:B9:6B -78,FE:2F:13:AA:54:E0 -57,FF:D3:98:1D:EC:EF -64,#0,0
F6:91:E3:81:B9:6B -58,FE:2F:13:AA:54:E0 -51,FF:D3:98:1D:EC:EF -59,#0,0
F6:91:E3:81:B9:6B -62,FE:2F:13:AA:54:E0 -56,FF:D3:98:1D:EC:EF -63,#0,0
F6:91:E3:81:B9:6B -60,FE:2F:13:AA:54:E0 -49,FF:D3:98:1D:EC:EF -58,#0,0
F6:91:E3:81:B9:6B -87,FE:2F:13:AA:54:E0 -87,FF:D3:98:1D:EC:EF -61,#0,0
F6:91:E3:81:B9:6B -55,FE:2F:13:AA:54:E0 -77,FF:D3:98:1D:EC:EF -68,#0,0
F6:91:E3:81:B9:6B -81,FE:2F:13:AA:54:E0 -58,FF:D3:98:1D:EC:EF -47,#0,0
F6:91:E3:81:B9:6B -72,FE:2F:13:AA:54:E0 -53,FF:D3:98:1D:EC:EF -74,#0,0
F6:91:E3:81:B9:6B -69,FE:2F:13:AA:54:E0 -72,FF:D3:98:1D:EC:EF -72,#0,0
F6:91:E3:81:B9:6B -61,FE:2F:13:AA:54:E0 -56,FF:D3:98:1D:EC:EF -54,#0,0
F6:91:E3:81:B9:6B -61,FE:2F:13:AA:54:E0 -77,FF:D3:98:1D:EC:EF -52,#0,0
F6:91:E3:81:B9:6B -48,FE:2F:13:AA:54:E0 -62,FF:D3:98:1D:EC:EF -53,#0,0
F6:91:E3:81:B9:6B -51,FE:2F:13:AA:54:E0 -61,FF:D3:98:1D:EC:EF -47,#0,0
F6:91:E3:81:B9:6B -50,FE:2F:13:AA:54:E0 -65,FF:D3:98:1D:EC:EF -53,#0,0
F6:91:E3:81:B9:6B -62,FE:2F:13:AA:54:E0 -61,FF:D3:98:1D:EC:EF -56,#0,0
F6:91:E3:81:B9:6B -48,FE:2F:13:AA:54:E0 -62,FF:D3:98:1D:EC:EF -52,#0,0
